AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,AveErr,ErrDeg
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.98959177668078,103.40357370384746,110.0,110.0,220.0,205.0, 6.293,1,2,-33,42.6,0,0,0
'-32,'1,108.63333925406705,108.8197020830579,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 6.293,1,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-31,'2,108.68479428628831,108.86414051997627,111.71727225917327,103.82290898782017,110.0,110.0,220.0,205.0, 5.797,2,1,-33,42.1,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
'-30,'2,108.74278433380579,108.91422283374136,111.45231262705667,104.24693303589838,110.0,110.0,220.0,205.0, 5.303,2,2,-32,41.6,0,0,0
