$GNGLL,5243.34954,N,00719.17842,W,192921.80,A,A*65
$GNGLL,5243.34963,N,00719.17863,W,192922.00,A,A*69
$GNGLL,5243.34970,N,00719.17883,W,192922.20,A,A*67
$GNGLL,5243.34979,N,00719.17903,W,192922.40,A,A*61
$GNGLL,5243.34987,N,00719.17922,W,192922.60,A,A*61
$GNGLL,5243.34995,N,00719.17942,W,192922.80,A,A*6A
$GNGLL,5243.35004,N,00719.17962,W,192923.00,A,A*61
$GNGLL,5243.35012,N,00719.17980,W,192923.20,A,A*68
$GNGLL,5243.35021,N,00719.17997,W,192923.40,A,A*68
$GNGLL,5243.35029,N,00719.18016,W,192923.60,A,A*6D
$GNGLL,5243.35038,N,00719.18035,W,192923.80,A,A*62
$GNGLL,5243.35047,N,00719.18055,W,192924.00,A,A*63
$GNGLL,5243.35052,N,00719.18081,W,192924.20,A,A*6C
$GNGLL,5243.35059,N,00719.18103,W,192924.40,A,A*6A
$GNGLL,5243.35066,N,00719.18126,W,192924.60,A,A*63
$GNGLL,5243.35074,N,00719.18147,W,192924.80,A,A*69
$GNGLL,5243.35083,N,00719.18170,W,192925.00,A,A*6C
$GNGLL,5243.35092,N,00719.18195,W,192925.20,A,A*65
$GNGLL,5243.35101,N,00719.18217,W,192925.40,A,A*61
$GNGLL,5243.35112,N,00719.18239,W,192925.60,A,A*6D
$GNGLL,5243.35122,N,00719.18262,W,192925.80,A,A*6E
$GNGLL,5243.35132,N,00719.18286,W,192926.00,A,A*6E
$GNGLL,5243.35141,N,00719.18311,W,192926.20,A,A*67
$GNGLL,5243.35150,N,00719.18334,W,192926.40,A,A*66
$GNGLL,5243.35159,N,00719.18357,W,192926.60,A,A*68
$GNGLL,5243.35169,N,00719.18379,W,192926.80,A,A*69
$GNGLL,5243.35180,N,00719.18403,W,192927.00,A,A*6D
$GNGLL,5243.35190,N,00719.18427,W,192927.20,A,A*68
$GNGLL,5243.35200,N,00719.18450,W,192927.40,A,A*64
$GNGLL,5243.35211,N,00719.18471,W,192927.60,A,A*65
$GNGLL,5243.35221,N,00719.18493,W,192927.80,A,A*64
$GNGLL,5243.35230,N,00719.18514,W,192928.00,A,A*6D
$GNGLL,5243.35240,N,00719.18536,W,192928.20,A,A*68
$GNGLL,5243.35251,N,00719.18557,W,192928.40,A,A*69
$GNGLL,5243.35259,N,00719.18577,W,192928.60,A,A*61
$GNGLL,5243.35271,N,00719.18598,W,192928.80,A,A*64
$GNGLL,5243.35282,N,00719.18617,W,192929.00,A,A*65
$GNGLL,5243.35292,N,00719.18638,W,192929.20,A,A*6B
$GNGLL,5243.35303,N,00719.18658,W,192929.40,A,A*62
$GNGLL,5243.35314,N,00719.18678,W,192929.60,A,A*64
$GNGLL,5243.35326,N,00719.18698,W,192929.80,A,A*65
$GNGLL,5243.35333,N,00719.18718,W,192930.00,A,A*68
$GNGLL,5243.35340,N,00719.18737,W,192930.20,A,A*63
$GNGLL,5243.35346,N,00719.18757,W,192930.40,A,A*65
$GNGLL,5243.35353,N,00719.18777,W,192930.60,A,A*61
$GNGLL,5243.35360,N,00719.18794,W,192930.80,A,A*62
$GNGLL,5243.35367,N,00719.18812,W,192931.00,A,A*6D
$GNGLL,5243.35375,N,00719.18827,W,192931.20,A,A*6A
$GNGLL,5243.35382,N,00719.18843,W,192931.40,A,A*66
$GNGLL,5243.35389,N,00719.18856,W,192931.60,A,A*6B
$GNGLL,5243.35395,N,00719.18866,W,192931.80,A,A*6B
$GNGLL,5243.35403,N,00719.18874,W,192932.00,A,A*6B
$GNGLL,5243.35410,N,00719.18880,W,192932.20,A,A*60
$GNGLL,5243.35417,N,00719.18887,W,192932.40,A,A*66
$GNGLL,5243.35423,N,00719.18893,W,192932.60,A,A*66
$GNGLL,5243.35430,N,00719.18897,W,192932.80,A,A*6E
$GNGLL,5243.35435,N,00719.18901,W,192933.00,A,A*6C
$GNGLL,5243.35440,N,00719.18904,W,192933.20,A,A*69
$GNGLL,5243.35446,N,00719.18906,W,192933.40,A,A*6B
$GNGLL,5243.35452,N,00719.18908,W,192933.60,A,A*62
$GNGLL,5243.35458,N,00719.18910,W,192933.80,A,A*6F
$GNGLL,5243.35464,N,00719.18909,W,192934.00,A,A*67
$GNGLL,5243.35469,N,00719.18904,W,192934.20,A,A*65
$GNGLL,5243.35475,N,00719.18901,W,192934.40,A,A*6B
$GNGLL,5243.35481,N,00719.18897,W,192934.60,A,A*6C
$GNGLL,5243.35487,N,00719.18893,W,192934.80,A,A*60
$GNGLL,5243.35491,N,00719.18886,W,192935.00,A,A*6A
$GNGLL,5243.35496,N,00719.18876,W,192935.20,A,A*60
$GNGLL,5243.35501,N,00719.18868,W,192935.40,A,A*66
$GNGLL,5243.35506,N,00719.18859,W,192935.60,A,A*61
$GNGLL,5243.35510,N,00719.18852,W,192935.80,A,A*63
$GNGLL,5243.35514,N,00719.18845,W,192936.00,A,A*6A
$GNGLL,5243.35516,N,00719.18838,W,192936.20,A,A*60
$GNGLL,5243.35518,N,00719.18830,W,192936.40,A,A*60
$GNGLL,5243.35521,N,00719.18823,W,192936.60,A,A*6A
$GNGLL,5243.35521,N,00719.18815,W,192936.80,A,A*61
$GNGLL,5243.35520,N,00719.18806,W,192937.00,A,A*6B
$GNGLL,5243.35519,N,00719.18798,W,192937.20,A,A*6B
$GNGLL,5243.35516,N,00719.18787,W,192937.40,A,A*6C
$GNGLL,5243.35514,N,00719.18777,W,192937.60,A,A*63
$GNGLL,5243.35511,N,00719.18764,W,192937.80,A,A*6A
$GNGLL,5243.35507,N,00719.18753,W,192938.00,A,A*6E
$GNGLL,5243.35505,N,00719.18744,W,192938.20,A,A*68
$GNGLL,5243.35501,N,00719.18736,W,192938.40,A,A*6F
$GNGLL,5243.35495,N,00719.18727,W,192938.60,A,A*61
$GNGLL,5243.35491,N,00719.18715,W,192938.80,A,A*6A
$GNGLL,5243.35486,N,00719.18705,W,192939.00,A,A*64
$GNGLL,5243.35479,N,00719.18695,W,192939.20,A,A*6E
$GNGLL,5243.35473,N,00719.18685,W,192939.40,A,A*63
$GNGLL,5243.35467,N,00719.18674,W,192939.60,A,A*6A
$GNGLL,5243.35462,N,00719.18663,W,192939.80,A,A*67
$GNGLL,5243.35455,N,00719.18650,W,192940.00,A,A*65
$GNGLL,5243.35449,N,00719.18638,W,192940.20,A,A*64
$GNGLL,5243.35442,N,00719.18628,W,192940.40,A,A*68
$GNGLL,5243.35436,N,00719.18617,W,192940.60,A,A*65
$GNGLL,5243.35430,N,00719.18605,W,192940.80,A,A*6E
$GNGLL,5243.35422,N,00719.18591,W,192941.00,A,A*6A
$GNGLL,5243.35416,N,00719.18578,W,192941.20,A,A*68
$GNGLL,5243.35410,N,00719.18567,W,192941.40,A,A*66
$GNGLL,5243.35404,N,00719.18554,W,192941.60,A,A*61
$GNGLL,5243.35396,N,00719.18543,W,192941.80,A,A*65
$GNGLL,5243.35389,N,00719.18527,W,192942.00,A,A*62
$GNGLL,5243.35381,N,00719.18513,W,192942.20,A,A*6F
$GNGLL,5243.35372,N,00719.18499,W,192942.40,A,A*66
$GNGLL,5243.35364,N,00719.18486,W,192942.60,A,A*6D
$GNGLL,5243.35356,N,00719.18473,W,192942.80,A,A*68
$GNGLL,5243.35347,N,00719.18457,W,192943.00,A,A*67
$GNGLL,5243.35339,N,00719.18442,W,192943.20,A,A*68
$GNGLL,5243.35332,N,00719.18429,W,192943.40,A,A*68
$GNGLL,5243.35325,N,00719.18417,W,192943.60,A,A*61
$GNGLL,5243.35318,N,00719.18404,W,192943.80,A,A*63
$GNGLL,5243.35310,N,00719.18390,W,192944.00,A,A*6E
$GNGLL,5243.35302,N,00719.18376,W,192944.20,A,A*67
$GNGLL,5243.35295,N,00719.18362,W,192944.40,A,A*6B
$GNGLL,5243.35288,N,00719.18348,W,192944.60,A,A*6D
$GNGLL,5243.35279,N,00719.18334,W,192944.80,A,A*66
$GNGLL,5243.35271,N,00719.18321,W,192945.00,A,A*63
$GNGLL,5243.35264,N,00719.18306,W,192945.20,A,A*60
$GNGLL,5243.35257,N,00719.18293,W,192945.40,A,A*6B
$GNGLL,5243.35249,N,00719.18279,W,192945.60,A,A*62
$GNGLL,5243.35243,N,00719.18267,W,192945.80,A,A*69
$GNGLL,5243.35234,N,00719.18254,W,192946.00,A,A*62
$GNGLL,5243.35226,N,00719.18239,W,192946.20,A,A*68
$GNGLL,5243.35217,N,00719.18224,W,192946.40,A,A*60
$GNGLL,5243.35209,N,00719.18208,W,192946.60,A,A*63
$GNGLL,5243.35201,N,00719.18196,W,192946.80,A,A*61
