AimAng1,AimAang2,Aimx,Aimy,GV.currentx1, GV.currenty1, GV.startx, GV.starty, GV.finishx, GV.finishy,dist, GV.Set_SteerAng, GV.Steerangle, GV.gogo,ToEndPoint
'-64,'-64,-249470.15194610288,4039224.4313604073,5857097.21,1117335.0,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.76,-64,0,0,775735.2
'-64,'-64,-249470.15423383436,4039224.426579178,5857097.21,1117335.0,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.76,-64,0,0,775735.2
'-64,'-64,-249470.15423383436,4039224.426579178,5857097.21,1117335.0,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.76,-64,0,0,775735.2
'-64,'-64,-249470.15423383436,4039224.426579178,5857097.21,1117335.0,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.76,-64,0,0,775735.2
'-64,'-64,-249470.1334804313,4039224.469952616,5857097.21,1117335.06,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.74,-64,0,0,775735.16
'-64,'-64,-249470.130873217,4039224.4754015463,5857097.21,1117335.06,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.74,-64,0,0,775735.15
'-64,'-64,-249470.130873217,4039224.4754015463,5857097.21,1117335.06,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.74,-64,0,0,775735.15
'-64,'-64,-249470.130873217,4039224.4754015463,5857097.21,1117335.06,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.74,-64,0,0,775735.15
'-64,'-64,-249470.13013345466,4039224.476947608,5857097.18,1117335.08,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.7,-64,0,0,775735.16
'-64,'-64,-249470.12867516032,4039224.4799953606,5857097.18,1117335.08,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.7,-64,0,0,775735.15
'-64,'-64,-249470.12867516032,4039224.4799953606,5857097.18,1117335.08,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.7,-64,0,0,775735.15
'-64,'-64,-249470.12867516032,4039224.4799953606,5857097.18,1117335.08,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.7,-64,0,0,775735.15
'-64,'-64,-249470.1116677836,4039224.5155398156,5857097.17,1117335.13,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.67,-64,0,0,775735.12
'-64,'-64,-249470.11107091774,4039224.5167872314,5857097.17,1117335.13,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.67,-64,0,0,775735.12
'-64,'-64,-249470.11107091774,4039224.5167872314,5857097.17,1117335.13,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.67,-64,0,0,775735.12
'-64,'-64,-249470.11107091774,4039224.5167872314,5857097.17,1117335.13,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.67,-64,0,0,775735.12
'-64,'-64,-249470.09320211277,4039224.554132023,5857097.17,1117335.18,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.65,-64,0,0,775735.08
'-64,'-64,-249470.09160373668,4039224.5574725387,5857097.17,1117335.18,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.65,-64,0,0,775735.08
'-64,'-64,-249470.09160373668,4039224.5574725387,5857097.17,1117335.18,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.65,-64,0,0,775735.08
'-64,'-64,-249470.09160373668,4039224.5574725387,5857097.17,1117335.18,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.65,-64,0,0,775735.08
'-64,'-64,-249470.0839692769,4039224.5734281274,5857097.16,1117335.2,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.63,-64,0,0,775735.06
'-64,'-64,-249470.08567980272,4039224.5698532253,5857097.16,1117335.2,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.63,-64,0,0,775735.07
'-64,'-64,-249470.08567980272,4039224.5698532253,5857097.16,1117335.2,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.63,-64,0,0,775735.07
'-64,'-64,-249470.08567980272,4039224.5698532253,5857097.16,1117335.2,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.63,-64,0,0,775735.07
'-64,'-64,-249470.07473644172,4039224.5927242306,5857097.16,1117335.23,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.62,-64,0,0,775735.04
'-64,'-64,-249470.07399949394,4039224.59426441,5857097.16,1117335.23,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.62,-64,0,0,775735.04
'-64,'-64,-249470.07399949394,4039224.59426441,5857097.16,1117335.23,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.62,-64,0,0,775735.04
'-64,'-64,-249470.07399949394,4039224.59426441,5857097.16,1117335.23,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.62,-64,0,0,775735.04
'-64,'-64,-249470.0780834182,4039224.585729239,5857097.19,1117335.21,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.65,-64,0,0,775735.05
'-64,'-64,-249470.0761975506,4039224.5896705957,5857097.19,1117335.21,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.65,-64,0,0,775735.04
'-64,'-64,-249470.0761975506,4039224.5896705957,5857097.19,1117335.21,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.65,-64,0,0,775735.04
'-64,'-64,-249470.0761975506,4039224.5896705957,5857097.19,1117335.21,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.65,-64,0,0,775735.04
'-64,'-64,-249470.07554453687,4039224.5910353577,5857097.24,1117335.19,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.71,-64,0,0,775735.03
'-64,'-64,-249470.0746697303,4039224.592863654,5857097.24,1117335.19,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.71,-64,0,0,775735.03
'-64,'-64,-249470.0746697303,4039224.592863654,5857097.24,1117335.19,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.71,-64,0,0,775735.03
'-64,'-64,-249470.0746697303,4039224.592863654,5857097.24,1117335.19,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.71,-64,0,0,775735.03
'-64,'-64,-249470.08812434995,4039224.56474426,5857097.27,1117335.14,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.76,-64,0,0,775735.05
'-64,'-64,-249470.08854809572,4039224.5638586553,5857097.27,1117335.14,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.76,-64,0,0,775735.05
'-64,'-64,-249470.08854809572,4039224.5638586553,5857097.27,1117335.14,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.76,-64,0,0,775735.05
'-64,'-64,-249470.09147132694,4039224.557749267,5857097.3,1117335.12,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.79,-64,0,0,775735.05
'-64,'-64,-249470.0907461524,4039224.559264841,5857097.3,1117335.12,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.79,-64,0,0,775735.05
'-64,'-64,-249470.0907461524,4039224.559264841,5857097.3,1117335.12,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.79,-64,0,0,775735.05
'-64,'-64,-249470.0907461524,4039224.559264841,5857097.3,1117335.12,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.79,-64,0,0,775735.05
'-64,'-64,-249470.09816528187,4039224.5437592804,5857097.36,1117335.07,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.86,-64,0,0,775735.05
'-64,'-64,-249470.09903570183,4039224.5419401517,5857097.36,1117335.07,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.87,-64,0,0,775735.06
'-64,'-64,-249470.09903570183,4039224.5419401517,5857097.36,1117335.07,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.87,-64,0,0,775735.06
'-64,'-64,-249470.09903570183,4039224.5419401517,5857097.36,1117335.07,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.87,-64,0,0,775735.06
'-64,'-64,-249470.11997793117,4039224.4981720774,5857097.39,1117335.0,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.93,-64,0,0,775735.09
'-64,'-64,-249470.1207009399,4039224.49666103,5857097.39,1117335.0,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.92,-64,0,0,775735.1
'-64,'-64,-249470.1207009399,4039224.49666103,5857097.39,1117335.0,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.92,-64,0,0,775735.1
'-64,'-64,-249470.1207009399,4039224.49666103,5857097.39,1117335.0,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.92,-64,0,0,775735.1
'-64,'-64,-249470.13925169862,4039224.457890994,5857097.48,1117334.91,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.04,-64,0,0,775735.12
'-64,'-64,-249470.13897541864,4039224.4584684037,5857097.48,1117334.91,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.04,-64,0,0,775735.12
'-64,'-64,-249470.13897541864,4039224.4584684037,5857097.48,1117334.91,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.04,-64,0,0,775735.12
'-64,'-64,-249470.13897541864,4039224.4584684037,5857097.48,1117334.91,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.04,-64,0,0,775735.12
'-64,'-64,-249470.14929263183,4039224.436906012,5857097.56,1117334.84,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.15,-64,0,0,775735.12
'-64,'-64,-249470.1513259638,4039224.432656463,5857097.56,1117334.84,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.15,-64,0,0,775735.13
'-64,'-64,-249470.1513259638,4039224.432656463,5857097.56,1117334.84,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.15,-64,0,0,775735.13
'-64,'-64,-249470.1513259638,4039224.432656463,5857097.56,1117334.84,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.15,-64,0,0,775735.13
'-64,'-64,-249470.1711052824,4039224.391318806,5857097.6,1117334.77,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.21,-64,0,0,775735.16
'-64,'-64,-249470.171128263,4039224.391270778,5857097.6,1117334.77,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.21,-64,0,0,775735.16
'-64,'-64,-249470.171128263,4039224.391270778,5857097.6,1117334.77,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.21,-64,0,0,775735.16
'-64,'-64,-249470.171128263,4039224.391270778,5857097.6,1117334.77,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.21,-64,0,0,775735.16
'-64,'-64,-249470.19037905222,4039224.351037718,5857097.69,1117334.68,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.33,-64,0,0,775735.18
'-64,'-64,-249470.18940274158,4039224.3530781516,5857097.69,1117334.68,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.33,-64,0,0,775735.18
'-64,'-64,-249470.18940274158,4039224.3530781516,5857097.69,1117334.68,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.33,-64,0,0,775735.18
'-64,'-64,-249470.18940274158,4039224.3530781516,5857097.69,1117334.68,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.33,-64,0,0,775735.18
'-64,'-64,-249470.2037669644,4039224.3230577386,5857097.8,1117334.59,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.47,-64,0,0,775735.19
'-64,'-64,-249470.20395134337,4039224.322672397,5857097.8,1117334.59,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.47,-64,0,0,775735.19
'-64,'-64,-249470.20395134337,4039224.322672397,5857097.8,1117334.59,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.47,-64,0,0,775735.19
'-64,'-64,-249470.20395134337,4039224.322672397,5857097.8,1117334.59,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.47,-64,0,0,775735.19
'-64,'-64,-249470.25662510382,4039224.212587218,5857097.87,1117334.42,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.61,-64,0,0,775735.28
'-64,'-64,-249470.25709918907,4039224.2115964065,5857097.87,1117334.42,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.61,-64,0,0,775735.29
'-64,'-64,-249470.25709918907,4039224.2115964065,5857097.87,1117334.42,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.61,-64,0,0,775735.29
'-64,'-64,-249470.25709918907,4039224.2115964065,5857097.87,1117334.42,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.61,-64,0,0,775735.29
'-64,'-64,-249470.2851317131,4039224.1530100172,5857097.96,1117334.3,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.74,-64,0,0,775735.33
'-64,'-64,-249470.2870539768,4039224.1489925953,5857097.96,1117334.3,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.74,-64,0,0,775735.33
'-64,'-64,-249470.2870539768,4039224.1489925953,5857097.96,1117334.3,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.74,-64,0,0,775735.33
'-64,'-64,-249470.2870539768,4039224.1489925953,5857097.96,1117334.3,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.74,-64,0,0,775735.33
'-64,'-64,-249470.31363832278,4039224.093432816,5857098.05,1117334.19,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.87,-64,0,0,775735.37
'-64,'-64,-249470.313115328,4039224.0945258457,5857098.05,1117334.19,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.87,-64,0,0,775735.37
'-64,'-64,-249470.313115328,4039224.0945258457,5857098.05,1117334.19,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.87,-64,0,0,775735.37
'-64,'-64,-249470.313115328,4039224.0945258457,5857098.05,1117334.19,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769609.87,-64,0,0,775735.37
'-64,'-64,-249470.3421449339,4039224.033855612,5857098.14,1117334.07,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.01,-64,0,0,775735.41
'-64,'-64,-249470.3430701153,4039224.031922035,5857098.14,1117334.07,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.0,-64,0,0,775735.41
'-64,'-64,-249470.3430701153,4039224.031922035,5857098.14,1117334.07,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.0,-64,0,0,775735.41
'-64,'-64,-249470.3430701153,4039224.031922035,5857098.14,1117334.07,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.0,-64,0,0,775735.41
'-64,'-64,-249470.39500307766,4039223.923385082,5857098.22,1117333.9,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.14,-64,0,0,775735.51
'-64,'-64,-249470.39435502276,4039223.92473948,5857098.22,1117333.9,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.15,-64,0,0,775735.5
'-64,'-64,-249470.39435502276,4039223.92473948,5857098.22,1117333.9,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.15,-64,0,0,775735.5
'-64,'-64,-249470.39435502276,4039223.92473948,5857098.22,1117333.9,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.15,-64,0,0,775735.5
'-64,'-64,-249470.42685667053,4039223.8568128753,5857098.33,1117333.76,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.31,-64,0,0,775735.55
'-64,'-64,-249470.4283708054,4039223.853648419,5857098.33,1117333.76,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.31,-64,0,0,775735.55
'-64,'-64,-249470.4283708054,4039223.853648419,5857098.33,1117333.76,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.31,-64,0,0,775735.55
'-64,'-64,-249470.48306179672,4039223.7393473415,5857098.44,1117333.57,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.48,-64,0,0,775735.65
'-64,'-64,-249470.4818537693,4039223.7418720503,5857098.44,1117333.57,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.49,-64,0,0,775735.64
'-64,'-64,-249470.4818537693,4039223.7418720503,5857098.44,1117333.57,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.49,-64,0,0,775735.64
'-64,'-64,-249470.4818537693,4039223.7418720503,5857098.44,1117333.57,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.49,-64,0,0,775735.64
'-64,'-64,-249470.52080125097,4039223.6604740173,5857098.53,1117333.43,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.63,-64,0,0,775735.71
'-64,'-64,-249470.5195954291,4039223.662994117,5857098.53,1117333.43,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.63,-64,0,0,775735.7
'-64,'-64,-249470.5195954291,4039223.662994117,5857098.53,1117333.43,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.63,-64,0,0,775735.7
'-64,'-64,-249470.5195954291,4039223.662994117,5857098.53,1117333.43,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.63,-64,0,0,775735.7
'-64,'-64,-249470.56777354347,4039223.562304584,5857098.63,1117333.26,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.79,-64,0,0,775735.79
'-64,'-64,-249470.56715445936,4039223.5635984344,5857098.63,1117333.26,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.79,-64,0,0,775735.78
'-64,'-64,-249470.56715445936,4039223.5635984344,5857098.63,1117333.26,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.79,-64,0,0,775735.78
'-64,'-64,-249470.56715445936,4039223.5635984344,5857098.63,1117333.26,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.79,-64,0,0,775735.78
'-64,'-64,-249470.61474583778,4039223.4641351462,5857098.72,1117333.09,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.95,-64,0,0,775735.87
'-64,'-64,-249470.61657642794,4039223.4603093164,5857098.72,1117333.09,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.95,-64,0,0,775735.87
'-64,'-64,-249470.61657642794,4039223.4603093164,5857098.72,1117333.09,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.95,-64,0,0,775735.87
'-64,'-64,-249470.61657642794,4039223.4603093164,5857098.72,1117333.09,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769610.95,-64,0,0,775735.87
'-64,'-64,-249470.65837115253,4039223.3729607067,5857098.79,1117332.95,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.07,-64,0,0,775735.94
'-64,'-64,-249470.65804396506,4039223.3736445103,5857098.79,1117332.95,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.07,-64,0,0,775735.94
'-64,'-64,-249470.65804396506,4039223.3736445103,5857098.79,1117332.95,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.07,-64,0,0,775735.94
'-64,'-64,-249470.65804396506,4039223.3736445103,5857098.79,1117332.95,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.07,-64,0,0,775735.94
'-64,'-64,-249470.70199646856,4039223.281786265,5857098.86,1117332.8,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.2,-64,0,0,775736.02
'-64,'-64,-249470.7034049383,4039223.2788426424,5857098.86,1117332.8,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.2,-64,0,0,775736.02
'-64,'-64,-249470.7034049383,4039223.2788426424,5857098.86,1117332.8,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.2,-64,0,0,775736.02
'-64,'-64,-249470.7034049383,4039223.2788426424,5857098.86,1117332.8,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.2,-64,0,0,775736.02
'-64,'-64,-249470.74227480378,4039223.197606823,5857098.9,1117332.68,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.29,-64,0,0,775736.1
'-64,'-64,-249470.74267441878,4039223.19677165,5857098.9,1117332.68,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.29,-64,0,0,775736.1
'-64,'-64,-249470.74267441878,4039223.19677165,5857098.9,1117332.68,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.29,-64,0,0,775736.1
'-64,'-64,-249470.74267441878,4039223.19677165,5857098.9,1117332.68,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769611.29,-64,0,0,775736.1
