$GPRMC,181019.60,A,5243.3579604,N,00719.1710070,W,0.03,314.33,220422,0.0,E,R,V*4C$GPGGA,181019.60,5243.3579604,N,00719.1710070,W,4,13,1.0,60.421,M,56.132,M,0.2,0000*65$GPGGA,181019.60,5243.3579604,N,00719.1710070,W,4,13,1.0,60.421,M,56.132,M,0.2,0000*65,,,,613494.9360208998,5842740.974629484,4,15
$GPRMC,181020.00,A,5243.3579595,N,00719.1710068,W,0.05,314.33,220422,0.0,E,R,V*44$GPGGA,181020.00,5243.3579595,N,00719.1710068,W,4,13,1.0,60.418,M,56.132,M,-0.0,0000*4E$GPGGA,181020.00,5243.3579595,N,00719.1710068,W,4,13,1.0,60.418,M,56.132,M,-0.0,0000*4E,,,,613494.9362849541,5842740.972966381,4,16
$GPRMC,181020.40,A,5243.3579591,N,00719.1710070,W,0.04,314.33,220422,0.0,E,R,V*4C$GPGGA,181020.40,5243.3579591,N,00719.1710070,W,4,13,1.0,60.422,M,56.132,M,0.2,0000*61$GPGGA,181020.40,5243.3579591,N,00719.1710070,W,4,13,1.0,60.422,M,56.132,M,0.2,0000*61,,,,613494.9360771577,5842740.972219635,4,17
$GPRMC,181020.80,A,5243.3579584,N,00719.1710078,W,0.03,314.33,220422,0.0,E,R,V*4B$GPGGA,181020.80,5243.3579584,N,00719.1710078,W,4,13,1.0,60.420,M,56.132,M,0.2,0000*63$GPGGA,181020.80,5243.3579584,N,00719.1710078,W,4,13,1.0,60.420,M,56.132,M,0.2,0000*63,,,,613494.9352070246,5842740.970901004,4,18
$GPRMC,181021.20,A,5243.3579585,N,00719.1710073,W,0.06,314.33,220422,0.0,E,R,V*4F$GPGGA,181021.20,5243.3579585,N,00719.1710073,W,4,13,1.0,60.419,M,56.132,M,0.2,0000*68$GPGGA,181021.20,5243.3579585,N,00719.1710073,W,4,13,1.0,60.419,M,56.132,M,0.2,0000*68,,,,613494.9357654632,5842740.971099514,4,19
$GPRMC,181021.60,A,5243.3579608,N,00719.1710081,W,0.06,314.33,220422,0.0,E,R,V*40$GPGGA,181021.60,5243.3579608,N,00719.1710081,W,4,13,1.0,60.422,M,56.132,M,0.2,0000*6F$GPGGA,181021.60,5243.3579608,N,00719.1710081,W,4,13,1.0,60.422,M,56.132,M,0.2,0000*6F,,,,613494.9347655042,5842740.975342073,4,20
$GPRMC,181022.00,A,5243.3579582,N,00719.1710077,W,0.08,314.33,220422,0.0,E,R,V*43$GPGGA,181022.00,5243.3579582,N,00719.1710077,W,4,13,1.0,60.420,M,56.132,M,0.2,0000*60$GPGGA,181022.00,5243.3579582,N,00719.1710077,W,4,13,1.0,60.420,M,56.132,M,0.2,0000*60,,,,613494.9353282328,5842740.970532886,4,21
$GPRMC,181022.40,A,5243.3579598,N,00719.1710076,W,0.02,314.33,220422,0.0,E,R,V*47$GPGGA,181022.40,5243.3579598,N,00719.1710076,W,4,13,1.0,60.418,M,56.132,M,0.2,0000*65$GPGGA,181022.40,5243.3579598,N,00719.1710076,W,4,13,1.0,60.418,M,56.132,M,0.2,0000*65,,,,613494.9353715456,5842740.973501481,4,22
$GPRMC,181022.80,A,5243.3579596,N,00719.1710067,W,0.03,314.33,220422,0.0,E,R,V*44$GPGGA,181022.80,5243.3579596,N,00719.1710067,W,4,13,1.0,60.421,M,56.132,M,0.2,0000*6D$GPGGA,181022.80,5243.3579596,N,00719.1710067,W,4,13,1.0,60.421,M,56.132,M,0.2,0000*6D,,,,613494.9363931797,5842740.973154383,4,23
$GPRMC,181023.20,A,5243.3579600,N,00719.1710061,W,0.06,314.33,220422,0.0,E,R,V*40$GPGGA,181023.20,5243.3579600,N,00719.1710061,W,4,13,1.0,60.422,M,56.132,M,0.2,0000*6F$GPGGA,181023.20,5243.3579600,N,00719.1710061,W,4,13,1.0,60.422,M,56.132,M,0.2,0000*6F,,,,613494.9370511891,5842740.973911641,4,24
$GPRMC,181023.60,A,5243.3579592,N,00719.1710064,W,0.06,314.33,220422,0.0,E,R,V*49$GPGGA,181023.60,5243.3579592,N,00719.1710064,W,4,13,1.0,60.420,M,56.132,M,0.2,0000*64$GPGGA,181023.60,5243.3579592,N,00719.1710064,W,4,13,1.0,60.420,M,56.132,M,0.2,0000*64,,,,613494.9367481496,5842740.972420773,4,25
$GPRMC,181024.00,A,5243.3579588,N,00719.1710065,W,0.04,314.33,220422,0.0,E,R,V*40$GPGGA,181024.00,5243.3579588,N,00719.1710065,W,4,13,1.0,60.421,M,56.132,M,-0.0,0000*41$GPGGA,181024.00,5243.3579588,N,00719.1710065,W,4,13,1.0,60.421,M,56.132,M,-0.0,0000*41,,,,613494.9366529064,5842740.971676653,4,26
$GPRMC,181024.40,A,5243.3579588,N,00719.1710067,W,0.05,314.33,220422,0.0,E,R,V*47$GPGGA,181024.40,5243.3579588,N,00719.1710067,W,4,13,1.0,60.420,M,56.132,M,0.2,0000*69$GPGGA,181024.40,5243.3579588,N,00719.1710067,W,4,13,1.0,60.420,M,56.132,M,0.2,0000*69,,,,613494.9364278,5842740.971671399,4,27
