Currentx,CurrentY
613530.194276127,5842712.62908927
613530.194670068,5842712.63150963
613530.194670068,5842712.63150963
613530.194670068,5842712.63150963
613530.194488248,5842712.62965065
613530.194488248,5842712.62965065
613530.194488248,5842712.62965065
613530.194674396,5842712.63132426
613530.194674396,5842712.63132426
613530.195838895,5842712.62968219
613530.195838895,5842712.62968219
613530.195838895,5842712.62968219
613530.193994744,5842712.63149386
613530.193994744,5842712.63149386
613530.194068334,5842712.62834252
613530.194068334,5842712.62834252
613530.194068334,5842712.62834252
613530.194496906,5842712.6292799
613530.194496906,5842712.6292799
613530.194496906,5842712.6292799
613530.193769636,5842712.63148861
613530.193769636,5842712.63148861
613530.194367036,5842712.63001877
613530.194367036,5842712.63001877
613530.194367036,5842712.63001877
613530.194553185,5842712.63169238
613530.194553185,5842712.63169238
613530.193349723,5842712.63018048
613530.193349723,5842712.63018048
613530.193349723,5842712.63018048
613530.194574829,5842712.63076551
613530.194574829,5842712.63076551
613530.194224181,5842712.63131375
613530.194224181,5842712.63131375
613530.194224181,5842712.63131375
613530.194102969,5842712.63168186
613530.194102969,5842712.63168186
613530.194553185,5842712.63169238
613530.194553185,5842712.63169238
613530.194553185,5842712.63169238
613530.195371364,5842712.63041316
613530.195371364,5842712.63041316
613530.195107297,5842712.63207627
613530.195107297,5842712.63207627
613530.195107297,5842712.63207627
613530.193730673,5842712.62833464
613530.193730673,5842712.62833464
613530.193730673,5842712.62833464
613530.195964435,5842712.6291287
613530.195964435,5842712.6291287
613530.195609458,5842712.6298623
613530.195609458,5842712.6298623
613530.195609458,5842712.6298623
613530.197180884,5842712.63008448
613530.197180884,5842712.63008448
613530.195817251,5842712.63060905
613530.195817251,5842712.63060905
613530.195817251,5842712.63060905
613530.195393008,5842712.6294863
613530.195393008,5842712.6294863
613530.195198202,5842712.62818343
613530.195198202,5842712.62818343
613530.195198202,5842712.62818343
613530.195522877,5842712.62874744
613530.195522877,5842712.62874744
613530.195518548,5842712.62893281
613530.195518548,5842712.62893281
613530.195518548,5842712.62893281
613530.195955778,5842712.62949944
613530.195955778,5842712.62949944
613530.194717685,5842712.62947053
613530.194717685,5842712.62947053
613530.194717685,5842712.62947053
613530.193808596,5842712.62982025
613530.193808596,5842712.62982025
613530.193908163,5842712.630379
613530.193908163,5842712.630379
613530.193908163,5842712.630379
613530.195059675,5842712.62929304
613530.195059675,5842712.62929304
613530.19455318,5842712.62687005
613530.19455318,5842712.62687005
613530.19455318,5842712.62687005
613530.194990409,5842712.62743668
613530.194990409,5842712.62743668
613530.195276125,5842712.62966904
613530.195276125,5842712.62966904
613530.195276125,5842712.62966904
613530.194657081,5842712.63206575
613530.194657081,5842712.63206575
613530.193587817,5842712.62962962
613530.193587817,5842712.62962962
613530.193587817,5842712.62962962
613530.195228508,5842712.63170815
613530.195228508,5842712.63170815
613530.193696042,5842712.62981762
613530.193696042,5842712.62981762
613530.193696042,5842712.62981762
613530.192687386,5842712.62960859
613530.192687386,5842712.62960859
613530.194133271,5842712.63038425
613530.194133271,5842712.63038425
613530.194730675,5842712.63373674
613530.194730675,5842712.63373674
613530.194730675,5842712.63373674
613530.195557512,5842712.63208678
613530.195557512,5842712.63208678
613530.195323742,5842712.62762994
613530.195323742,5842712.62762994
613530.195323742,5842712.62762994
613530.194150586,5842712.62964276
613530.194150586,5842712.62964276
613530.195111626,5842712.63189089
613530.195111626,5842712.63189089
613530.195111626,5842712.63189089
613530.19513327,5842712.63096403
613530.19513327,5842712.63096403
613530.193012061,5842712.6301726
613530.193012061,5842712.6301726
613530.195107297,5842712.63207627
613530.195107297,5842712.63207627
613530.195107297,5842712.63207627
613530.194778293,5842712.63169764
613530.194778293,5842712.63169764
613530.193401668,5842712.62795601
613530.193401668,5842712.62795601
613530.193401668,5842712.62795601
613530.194111627,5842712.63131112
613530.194111627,5842712.63131112
613530.194111627,5842712.63131112
613530.193470934,5842712.62981237
613530.193470934,5842712.62981237
613530.19556617,5842712.63171603
613530.19556617,5842712.63171603
613530.19556617,5842712.63171603
613530.193020718,5842712.62980185
613530.193020718,5842712.62980185
613530.194102969,5842712.63168186
613530.194102969,5842712.63168186
613530.194102969,5842712.63168186
613530.19435405,5842712.63057488
613530.19435405,5842712.63057488
613530.19435405,5842712.63057488
613530.193929807,5842712.62945213
613530.193929807,5842712.62945213
613530.192003404,5842712.62996357
613530.192003404,5842712.62996357
613530.192003404,5842712.62996357
613530.192903836,5842712.6299846
613530.192903836,5842712.6299846
613530.192778295,5842712.63053809
613530.192778295,5842712.63053809
613530.192778295,5842712.63053809
613530.19305102,5842712.62850424
613530.19305102,5842712.62850424
613530.19305102,5842712.62850424
613530.193102971,5842712.63110209
613530.193102971,5842712.63110209
613530.193838898,5842712.62852264
613530.193838898,5842712.62852264
613530.193838898,5842712.62852264
613530.193371367,5842712.62925362
613530.193371367,5842712.62925362
613530.193254484,5842712.62943636
613530.193254484,5842712.62943636
613530.193254484,5842712.62943636
613530.19326747,5842712.62888024
613530.19326747,5842712.62888024
613530.192345395,5842712.62978608
613530.192345395,5842712.62978608
613530.194189546,5842712.6279744
613530.194189546,5842712.6279744
613530.194189546,5842712.6279744
