AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,ToEndPoint,GVQual
'-171,'-171,613504.570573306,5842704.70070234,613505.76963989,5842712.36704502,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.570573306,5842704.70070234,613505.76963989,5842712.36704502,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.570573306,5842704.70070234,613505.76963989,5842712.36704502,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.574297999,5842704.70613154,613505.780895279,5842712.3673078,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.574297999,5842704.70613154,613505.780895279,5842712.3673078,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.574297999,5842704.70613154,613505.780895279,5842712.3673078,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.574297999,5842704.70613154,613505.780895279,5842712.3673078,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.2,4
'-171,'-171,613504.578022692,5842704.71156074,613505.792150669,5842712.36757057,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.3,4
'-171,'-171,613504.578022692,5842704.71156074,613505.792150669,5842712.36757057,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.3,4
'-171,'-171,613504.578022692,5842704.71156074,613505.792150669,5842712.36757057,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.3,4
'-171,'-171,613504.578022692,5842704.71156074,613505.792150669,5842712.36757057,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.3,4
'-171,'-171,613504.581747385,5842704.71698994,613505.803406058,5842712.36783335,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.3,4
'-171,'-171,613504.581747385,5842704.71698994,613505.803406058,5842712.36783335,613509.922013046,5842712.50108686,613505.541482313,5842706.11592216,3.3,-171,0,0,6.3,4
